artist,artist_id,followers,genres,popularity,type
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,9593964.0,,81.0,artist
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,5997011.0,"southern hip hop, rap, trap",76.0,artist
Green Day,7oPftvlwr6VrsViSDV7fJY,17372217.0,"punk, pop punk",81.0,artist
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,5632989.0,,78.0,artist
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,13936514.0,"art rock, alternative rock",85.0,artist
Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,13388702.0,"reggae, roots reggae",79.0,artist
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,12731803.0,emo,76.0,artist
2 Chainz,17lzZA2AlOHwCwFALHttmp,8313930.0,"rap, southern hip hop",74.0,artist
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,11427378.0,"emo, pop punk",78.0,artist
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,14065024.0,soft pop,79.0,artist
Roddy Ricch,757aE44tKEUQEqRuT6GnEB,11871694.0,melodic rap,75.0,artist
Morat,5C4PDR4LnhZTbVnKWXuDKD,13942839.0,"colombian pop, latin pop",79.0,artist
Ne-Yo,7wlFDEWiM5OoIAt8RSli8b,15028512.0,,85.0,artist
Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,24102112.0,"sertanejo, sertanejo universitário, arrocha, agronejo",80.0,artist
Camilo,28gNT5KBp7IjEOQoevXf9N,20469836.0,"colombian pop, pop urbano",78.0,artist
NF,0WjcdSKSTiNtfM4uQDIPDm,6240.0,,29.0,artist
Joji,3MZsBdqDrRTJihTHQrO6Dq,10701323.0,,82.0,artist
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,15120223.0,"edm, progressive house, electronica",75.0,artist
Logic,4xRYI6VqpkE3UwrDrAZL8L,6142377.0,,71.0,artist
Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,11254403.0,,85.0,artist
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,10590834.0,"trap soul, r&b",80.0,artist
Lenny TavÃ¡rez,,,,,
2Pac,1ZwdS5xdxEREPySFridCfh,22621431.0,"old school hip hop, gangster rap, west coast hip hop, g-funk, hip hop",78.0,artist
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,12308916.0,,72.0,artist
Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,43927935.0,"tamil pop, kollywood, tamil dance, tamil hip hop, tollywood, telugu pop",83.0,artist
Charli xcx,25uiPmTg16RbhZWAqwLBy5,6354118.0,"hyperpop, art pop",82.0,artist
mgk,6gjAbs229sNHhSskJpQ2mG,882.0,opera,20.0,artist
John Mayer,0hEurMDQu99nJRq8pTxO14,6225568.0,singer-songwriter,76.0,artist
Major Lazer,738wLrAtLtCtFOLvQBXOXp,6304335.0,moombahton,73.0,artist
Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,10917006.0,,77.0,artist
Wisin,1wZtkThiXbVNtj6hee6dz9,9064905.0,"reggaeton, urbano latino",80.0,artist
Stray Kids,2dIgFjalVxs4ThymZ67YCE,21114811.0,"k-pop, noise music",84.0,artist
ROSALÃA,423rtoXBLLA6T3K29A6HSF,4.0,,0.0,artist
PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,10174082.0,"dark r&b, r&b, trap soul",83.0,artist
Shreya Ghoshal,0oOet2f43PA68X5RxKobEy,33003813.0,"bollywood, hindi pop, desi, kannada pop, marathi pop",85.0,artist
Christian Nodal,0XwVARXT135rw8lyw1EeWP,16130776.0,"banda, ranchera, mariachi, norteño, música mexicana, grupera",78.0,artist
Jul,4AGwPDdh1y8hochNzHy5HC,170147.0,,52.0,artist
Lil Yachty,6icQOAFXDZKsumw3YXyusw,10919797.0,,76.0,artist
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,14586772.0,,78.0,artist
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,35308657.0,"rock, glam metal, hard rock, classic rock",80.0,artist
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,14584188.0,,83.0,artist
Dr. Dre,3TVXtAsR1Inumwj472S9r4,103393441.0,rap,95.0,artist
Becky G,4obzFoKoKRHIphyHzJ35G3,16679779.0,"reggaeton, latin",75.0,artist
Rels B,2IMZYfNi21MGqxopj9fWx8,10020823.0,"urbano latino, trap latino",81.0,artist
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,11967768.0,christmas,80.0,artist
Quevedo,52iwsT98xCoGgiGntTiR7K,6439741.0,,82.0,artist
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,4358291.0,,76.0,artist
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,22763397.0,"progressive rock, psychedelic rock, classic rock, art rock, rock",80.0,artist
Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,7508961.0,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, tejano, ranchera, corridos bélicos",84.0,artist
Macklemore,3JhNCzhSMTxs9WLGJJxWOY,2838141.0,,74.0,artist
Banda MS de Sergio LizÃ¡rraga,,,,,
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,10247841.0,,76.0,artist
