Rank,Artist,Daily Streams,Peak Daily,Monthly Listeners
Cigarettes After Sex,"11,052.3",10.923,"11,052.3","11,052.3"
Chance the Rapper,"11,025.7",2.358,"4,105.0",723.9
Reik,"10,994.2",3.530,"9,145.5","4,759.8"
French Montana,"10,943.7",2.200,"5,614.3",316.7
Lil Tjay,"10,883.4",2.800,"7,248.3","4,508.2"
blackbear,"10,881.7",1.409,"7,367.6","6,231.7"
Eladio Carrion,"10,832.4",4.208,"8,056.3","2,848.3"
Alicia Keys,"10,794.2",4.393,"7,540.8","6,651.1"
Rick Ross,"10,782.1",3.774,"3,034.5",698.9
Elvis Presley,"10,760.2",3.968,"10,710.8","9,901.9"
Lil Tecca,"10,757.1",4.593,"9,699.3","7,960.8"
Skrillex,"10,753.5",2.068,"5,092.8",902.1
Bryant Myers,"10,751.3",6.631,"3,719.4","1,305.7"
Kesha,"10,746.9",4.697,"6,959.9","6,374.5"
Zedd,"10,735.6",2.118,"7,716.3",229.2
Little Mix,"10,610.0",1.790,"9,176.4","6,692.4"
DJ Khaled,"10,547.9",1.831,"9,700.5",626.8
Lorde,"10,534.3",5.447,"9,935.8","9,530.8"
Grupo Firme,"10,508.1",5.317,"7,423.1","2,341.6"
Melanie Martinez,"10,467.7",3.093,"10,467.7","10,341.4"
Ãengo Flow,"10,449.1",6.361,"2,284.5",993.8
Ninho,"10,271.9",4.558,"6,140.6","4,526.5"
Madonna,"10,239.3",4.586,"8,648.5","7,210.0"
Creedence Clearwater Revival,"10,204.0",3.371,"10,178.2","10,173.6"
Frank Sinatra,"10,185.9",5.438,"9,848.0","7,976.8"
Noah Kahan,"10,179.1",7.508,"9,526.6","7,744.3"
Labrinth,"10,103.3",2.024,"6,854.2","5,385.1"
Chris Stapleton,"10,021.9",6.489,"8,261.1","8,213.2"
Paramore,"9,996.3",5.531,"9,996.3","9,944.1"
The Notorious B.I.G.,"9,984.9",3.228,"8,443.8","6,315.0"
T-Pain,"9,984.3",5.578,"4,137.1",751.3
Meek Mill,"9,977.4",1.823,"7,365.4","2,056.7"
Darell,"9,967.0",3.334,"1,715.3",614.8
Christina Aguilera,"9,961.0",3.560,"5,458.5","4,165.8"
blink-182,"9,939.4",2.506,"9,776.2","9,736.2"
Rammstein,"9,898.1",3.433,"9,898.1","9,774.4"
Slipknot,"9,890.5",4.759,"9,890.5","9,890.5"
Clean Bandit,"9,868.4",2.450,"9,558.1",72.2
Jung Kook,"9,861.2",6.485,"8,392.7","3,521.5"
JhenÃ© Aiko,"9,827.4",2.948,"5,611.9","2,880.3"
Summer Walker,"9,808.2",3.361,"7,030.8","3,466.9"
Troye Sivan,"9,779.5",1.969,"6,900.6","5,778.1"
ZÃ© Neto & Cristiano,"9,763.9",4.988,"8,314.9","7,754.1"
U2,"9,761.9",2.765,"9,201.1","8,972.3"
Chencho Corleone,"9,748.0",3.626,524.4,250.9
Cris MJ,"9,736.0",6.841,"6,054.2","3,866.1"
Foo Fighters,"9,717.1",2.512,"9,712.8","9,702.1"
Mitski,"9,716.0",5.044,"9,659.7","9,576.9"
David Bowie,"9,709.4",3.956,"7,617.1","7,455.7"
Tainy,"9,702.1",3.981,"4,898.5",6.5
Russ,"9,685.8",1.848,"9,311.5","8,053.4"
The Killers,"9,618.1",3.163,"9,617.5","9,431.1"
Bon Jovi,"9,616.8",4.362,"9,565.3","9,457.3"
Oasis,"9,586.5",6.571,"9,586.5","9,585.5"
League of Legends,"9,585.7",4.335,"3,455.9",343.7
The 1975,"9,510.4",3.056,"9,225.9","9,205.1"
Maria Becerra,"9,495.7",3.512,"3,453.3","2,378.9"
Florida Georgia Line,"9,446.0",1.461,"6,109.8","4,332.5"
Wizkid,"9,445.0",5.579,"2,682.2","1,096.6"
MC Ryan SP,"9,426.0",9.346,"1,348.3",39.4
Tito Double P,"9,370.9",11.028,"6,109.1","2,534.7"
Paulo Londra,"9,337.7",2.732,"7,418.3","5,906.1"
De La Ghetto,"9,325.0",4.123,"1,915.2",460.4
Dalex,"9,310.8",2.402,"3,833.4",458.0
Kehlani,"9,296.3",4.695,"5,110.3","3,552.2"
Steve Lacy,"9,263.2",4.260,"8,130.3","7,980.4"
Aventura,"9,216.8",4.544,"9,138.1","7,165.2"
Luis Fonsi,"9,183.8",2.097,"8,137.9","1,409.9"
Jeremih,"9,132.3",2.466,"5,134.5","2,105.0"
Conan Gray,"9,125.1",5.451,"8,956.1","8,956.1"
Matheus & Kauan,"9,124.9",4.442,"7,204.8","5,068.3"
Alok,"9,075.4",3.027,"7,273.2",153.2
Led Zeppelin,"9,073.2",2.768,"9,073.2","9,073.2"
Ludacris,"9,066.2",3.933,"2,101.3",675.9
Bring Me The Horizon,"9,044.0",3.169,"8,353.7","7,166.5"
Jonas Blue,"8,981.3",1.519,"7,391.2",33.3
My Chemical Romance,"8,976.2",4.699,"8,976.2","8,932.2"
Bastille,"8,968.8",1.632,"5,817.0","5,327.0"
MÃ¥neskin,"8,958.1",3.096,"8,941.5","8,485.1"
Marc Anthony,"8,949.4",3.593,"5,648.9","5,372.7"
The Lumineers,"8,910.0",2.569,"8,501.5","8,467.9"
Plan B,"8,887.3",6.391,"5,879.2","5,255.5"
Anderson .Paak,"8,787.8",2.803,"2,387.3","1,246.3"
Central Cee,"8,769.8",4.622,"5,763.4","4,513.5"
Burna Boy,"8,751.3",5.190,"5,251.2","3,826.3"
YG,"8,745.1",1.853,"3,840.9",936.4
Nickelback,"8,709.6",4.519,"8,709.6","8,653.4"
Danny Ocean,"8,675.5",5.486,"6,817.6","5,974.6"
Julia Michaels,"8,663.2",1.173,"4,099.1","2,924.3"
Mac DeMarco,"8,651.0",5.535,"8,495.5","8,483.4"
Yeat,"8,648.3",5.108,"7,792.0","6,721.2"
Sfera Ebbasta,"8,641.8",3.208,"4,025.7","2,194.4"
Luke Bryan,"8,490.7",2.211,"7,151.0","7,051.9"
NATTI NATASHA,"8,474.4",1.598,"3,361.7",657.3
ManÃ¡,"8,409.8",4.724,"8,408.3","6,613.4"
Florence + The Machine,"8,401.2",4.876,"7,851.4","7,283.2"
NAV,"8,398.4",1.307,"5,400.8","1,782.5"
NLE Choppa,"8,395.6",2.370,"6,500.7","4,009.0"
Juanes,"8,369.9",2.716,"4,485.5","3,632.1"
Timbaland,"8,348.5",5.614,"3,659.4",28.4
La Arrolladora Banda El LimÃ³n De Rene Camacho,"8,312.8",7.356,"8,244.3","8,152.7"
Muse,"8,308.8",2.830,"8,302.0","8,269.8"
Hans Zimmer,"8,281.9",4.049,"7,556.1","4,421.2"
Vishal-Shekhar,"8,245.1",6.441,"7,989.1",10.5
Chase Atlantic,"8,244.5",5.443,"8,171.8","7,601.3"
Jonas Brothers,"8,220.1",2.466,"6,334.5","6,050.7"
Tove Lo,"8,200.3",1.614,"5,217.3","3,886.1"
Cartel De Santa,"8,182.1",3.611,"7,572.0","5,119.6"
T.I.,"8,158.1",3.008,"4,074.6","1,549.5"
Billy Joel,"8,155.9",4.706,"8,113.1","8,072.4"
Jennifer Lopez,"8,153.5",2.590,"6,737.6","2,484.6"
Benson Boone,"8,147.3",9.054,"8,147.3","8,116.8"
GIVÄON,"8,145.7",3.976,"4,964.3","4,892.0"
Prince Royce,"8,143.5",2.929,"5,833.2","3,796.6"
Bruce Springsteen,"8,039.5",4.161,"7,866.0","7,851.2"
El Alfa,"8,039.1",4.164,"4,441.8",507.4
Lost Frequencies,"8,004.1",2.302,"7,629.4","1,777.2"
Bonez MC,"8,003.8",2.050,"4,403.0","1,051.0"
Whitney Houston,"7,974.1",3.029,"6,785.0","6,050.8"
Jack Johnson,"7,973.3",2.028,"7,571.2","7,323.7"
BeÃ©le,"7,937.9",14.621,"3,484.1","2,475.8"
Glass Animals,"7,919.6",1.938,"7,903.1","7,360.3"
DJ Luian,"7,916.7",3.748,"1,115.7",
Amy Winehouse,"7,909.3",3.219,"7,099.8","6,828.9"
JuliÃ³n Ãlvarez y su NorteÃ±o Banda,"7,879.0",5.706,"7,742.6","7,709.2"
Gracie Abrams,"7,864.8",8.207,"7,481.2","7,225.7"
Alejandro Sanz,"7,859.8",4.602,"5,713.0","4,459.0"
Avril Lavigne,"7,846.3",3.041,"7,620.7","7,260.6"
SEVENTEEN,"7,833.4",3.300,"7,771.9","7,621.0"
Gabito Ballesteros,"7,825.5",6.115,"2,935.1",655.8
Tanishk Bagchi,"7,821.8",5.600,"2,585.3",3.1
Niall Horan,"7,819.3",1.277,"6,314.3","5,912.7"
6ix9ine,"7,817.2",1.699,"6,411.0","2,167.5"
Clairo,"7,814.2",3.629,"6,092.2","5,769.9"
Fetty Wap,"7,777.6",1.553,"4,922.1","2,856.0"
Alejandro FernÃ¡ndez,"7,771.9",3.546,"7,001.8","5,744.9"
Felix Jaehn,"7,768.7",1.523,"3,413.0",48.5
RAYE,"7,705.7",7.673,"3,089.5","1,127.6"
Kings of Leon,"7,697.7",2.927,"7,672.6","7,644.1"
TINI,"7,686.7",4.625,"5,290.2","1,680.5"
Oscar Maydon,"7,673.7",7.937,"4,727.7",380.6
Alfredo Olivas,"7,660.6",5.064,"6,974.6","6,890.7"
Mark Ronson,"7,657.3",2.287,"5,545.4",10.4
Jimin,"7,622.9",5.259,"7,001.5","6,221.7"
Stevie Wonder,"7,614.4",2.864,"7,027.4","6,805.3"
The Script,"7,609.4",2.798,"7,583.1","5,707.9"
Mambo Kingz,"7,599.8",3.478,323.1,1.1
Piso 21,"7,548.9",1.884,"6,799.2","1,515.0"
Rae Sremmurd,"7,529.4",1.248,"6,769.6","3,814.8"
Kelly Clarkson,"7,497.8",3.621,"7,054.6","6,594.6"
Bon Iver,"7,493.8",3.616,"5,171.2","4,528.0"
Nate Dogg,"7,489.9",3.207,"1,141.9",206.3
The Offspring,"7,470.9",2.662,"7,470.9","7,351.9"
Juicy J,"7,433.6",2.400,"1,542.9",150.5
6LACK,"7,428.7",1.611,"3,398.9","2,241.8"
Aerosmith,"7,413.7",2.416,"7,113.9","7,098.0"
Vance Joy,"7,397.7",2.408,"7,226.4","7,122.6"
Jess Glynne,"7,381.8",2.317,"2,932.2","2,602.5"
Bibi Blocksberg,"7,376.2",4.979,"7,376.2","7,372.6"
Backstreet Boys,"7,369.6",3.335,"7,036.7","7,010.5"
Joan Sebastian,"7,348.1",5.195,"7,252.3","6,149.5"
Calibre 50,"7,345.7",3.358,"6,768.6","6,243.8"
Bee Gees,"7,327.1",3.041,"7,173.4","7,010.5"
RAF Camora,"7,311.2",1.823,"3,204.4","1,465.1"
Rita Ora,"7,309.6",1.137,"3,446.4","2,684.6"
ScHoolboy Q,"7,297.3",1.871,"4,377.6","1,574.8"
Alesso,"7,268.8",1.906,"4,166.2",761.6
Dave,"7,246.2",7.386,"6,290.9","2,326.7"
Eslabon Armado,"7,239.6",2.803,"6,459.7","3,237.8"
Kevin Gates,"7,235.1",2.742,"6,037.3","5,243.4"
Rod Wave,"7,231.1",3.377,"6,943.5","5,839.6"
Brytiago,"7,215.0",2.984,"2,594.8",129.0
Jay Wheeler,"7,202.6",2.392,"4,247.2",775.1
Disclosure,"7,181.6",1.882,"5,441.2",753.8
Amitabh Bhattacharya,"7,166.7",7.159,7.3,
Kane Brown,"7,147.0",1.585,"4,671.4","2,940.3"
TV Girl,"7,142.2",5.918,"6,740.9","6,686.5"
Three Days Grace,"7,140.7",3.338,"6,942.6","6,914.4"
