artist,artist_id,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count,labels
Siddhartha,2aqFBHOpM9uIgBpUsdq09x,1595203.0,"mexican indie, latin indie, latin alternative, rock en español",68.0,artist,"1,796.8",1.05,"1,778.0","1,542.3",263500.0,14.0,0.0,"Sony Music Entertainment México, S.A. de C.V., LOV/RECS / Bubler Sounds"
Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW,1408690.0,big beat,63.0,artist,"1,310.5",0.521,"1,144.9",934.9,373099.0,11.0,6.0,
Vybz Kartel,2NUz5P42WqkxilbI8ocN76,2091599.0,"dancehall, soca, riddim, ragga, reggae",67.0,artist,"1,369.9",0.745,994.5,685.1,1878508.0,17.0,5.0,"TJ Records / Adidjahiem Records, Reggae Library Under License From John John Recordings, Greedy Lion/Vybz Kartel Muzik, SSMG Productionz, Mixpak Records LLC, Reggae Library, 21st Hapilos Compilations, Greedy Lion, Vybz Kartel Muzik"
Duckjay,7b5XefluHSHw1lKQkqIZO0,67452.0,brazilian hip hop,67.0,artist,"1,793.7",1.324,nan,nan,0.0,2.0,0.0,"Kamika-z Produtora, Tribo da Periferia"
Bellakath,4yjm4SvYqC5FFuLbB6TyHr,1790555.0,"reggaeton mexa, reggaeton, neoperreo",66.0,artist,"1,263.6",0.87,"1,010.4",321.4,572518.0,8.0,1.0,
El Bogueto,3S9Hg7sRKhmtWunFZ2yAYP,1420743.0,"reggaeton mexa, reggaeton",74.0,artist,"1,793.1",3.264,969.8,50.1,30820.0,10.0,0.0,"DALE PLAY Records / Solido Records, Candela Music, Dale Play Records / Coronado Récords / Solido Records., Worldwide Records, Fabrika, NO HAY LOCO QUE NO CORONE RECORDS, Cuarto Magico Music, Warner Music México, S.A. de C.V."
Uzielito Mix,7wgrXbrp9RJQMri26GZgyH,848454.0,"reggaeton mexa, reggaeton",66.0,artist,"1,325.5",1.047,431.3,nan,31857.0,4.0,0.0,
The Wanted,2NhdGz9EDv2FeUw6udu2g1,2444105.0,nan,62.0,artist,"1,792.6",0.456,"1,778.1","1,762.0",339013.0,15.0,9.0,"Global Talent Records Limited exclusively licensed to Geffen (UK) a division of Polydor (UK) Ltd, Global Talent Records Limited, under exclusive licence to Universal Island Records, a division of Universal Music Operations Limited, Global Talent Music Recordings Ltd, under exclusive licence to Universal Island Records, a division of Universal Music Operations Limited, Universal Music Operations Limited"
Belanova,3oNy8cjBtJzLC07I70sklp,2094674.0,latin pop,70.0,artist,"1,790.7",1.405,"1,782.5","1,774.2",26656.0,12.0,2.0,Universal Music Mexico S.A. de C.V.
Lecrae,1CFCsEqKrCyvAFKOATQHiW,1398051.0,"christian hip hop, christian, gospel r&b, christian pop, rap chrétien, chinese hip hop",65.0,artist,"1,789.8",0.63,"1,186.1",410.6,1554926.0,15.0,5.0,Reach Records
Alle Farben,61ipISvUVa5LkJlKZnm3Oo,365858.0,nan,60.0,artist,"1,788.7",0.308,"1,322.5",187.1,225033.0,12.0,5.0,"Guesstimate/Synesthesia under exclusive license to B1 Recordings GmbH, a Sony Music Entertainment Company, Tropikel Ltd, Synesthesia Recordings, a division of Guesstimate under exclusive license to B1 Recordings GmbH, a Sony Music Entertainment Company, Alle Farben, Alle Farben, under exclusive license to Universal Music GmbH, Tomorrowland Music, under exclusive license to Universal Music GmbH"
Gur Sidhu,0QntOArZgiNHoemAzwJPu5,1428844.0,"punjabi pop, punjabi hip hop, bhangra",77.0,artist,"1,787.6",5.389,158.3,13.8,0.0,2.0,0.0,"Supreet Singh, Brown Town Music, Browntown Entertainment Ltd., Desi Junction, Warner Music India"
Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,719533.0,"salsa, son cubano, bolero, cha cha cha, merengue, mambo, latin, latin dance",63.0,artist,"1,787.6",0.745,"1,393.6",665.5,314659.0,15.0,4.0,"Loud And Live Studios / Distributed by InnerCat Music Group, LLC, Loud And Live Studios, Craft Recordings., Distributed by Concord., Orfeón VideoVox, UMG Recordings, Inc., Cubanian Masterrecords"
Bruno Major,0hDjKSKjl1DC7ovYTDJHe8,1565690.0,nan,62.0,artist,"1,786.2",0.482,"1,774.4","1,774.4",1960030.0,15.0,9.0,"Harbour under exclusive license to AWAL Recordings Ltd, Harbour, Harbour Artists & Music under exclusive license to AWAL Recordings America, Inc."
KSHMR,2wX6xSig4Rig5kZU6ePlWe,1779527.0,"big room, edm, slap house, techno",62.0,artist,"1,786.2",0.374,833.7,67.4,286046.0,13.0,0.0,"Spinnin' Records, Dharma // Spinnin' Records - under exclusive license to One Seven Music, Mass Appeal / Dharma Worldwide, SpinninRecords.com"
Dylan Scott,78YqeIji3mgAS2K1Maca6x,1915795.0,country,65.0,artist,"1,786.1",0.683,"1,700.3","1,678.6",198858.0,14.0,3.0,"Curb Records, Inc. 48 Music Square East, Nashville, TN 37203., Curb Records, Inc."
Adriel Favela,0PrhwIWbqYFYyY2ZrkIWgI,1648466.0,"corrido, banda, corridos tumbados, sierreño, corridos bélicos, sad sierreño",60.0,artist,"1,783.7",0.408,"1,355.7",523.9,40263.0,7.0,1.0,"Gerencia 360 Music, Inc, Gerencia 360, Under Exclusive License To UMG Recordings, Inc., UMG Recordings, Inc., Gerencia 360 Music, LLC, Gerencia 360 Music, Inc."
Mazzy Star,37w38cCSGgKLdayTRjna4W,1837373.0,"dream pop, shoegaze, slowcore",71.0,artist,"1,783.5",1.753,"1,776.0","1,768.4",5855898.0,19.0,14.0,"Mazzy Star, Capitol Records Inc., Rhymes of an Hour Records, musique de lune, Pilgrim, Raygun, Carnival, Kitsune, Mazzy Star, Slap Happy, Blue Cactus"
Farid Bang,2JwyRtuXf2l6sTnSnGVIa1,838652.0,german hip hop,59.0,artist,"1,781.9",0.287,939.2,435.0,406695.0,2.0,0.0,"Banger Musik GmbH, Loud Media GmbH, Banger Musik"
Aqua,6kBjAFKyd0he7LiA5GQ3Gz,782305.0,"europop, eurodance",64.0,artist,"1,781.8",0.613,"1,203.0","1,150.5",3284536.0,2.0,2.0,Aqualogic
Placebo,6RZUqkomCmb8zCRqc9eznB,2099691.0,britpop,63.0,artist,"1,781.1",0.648,"1,781.1","1,719.8",982311.0,13.0,9.0,"Elevator Lady Ltd, Dreambrother Ltd, Elevator Lady Ltd under exclusive license to SO Recordings. Distributed by ADA, a division of Warner Music Australia Pty Ltd, Elevator Lady Ltd under exclusive license to SO Recordings"
Pancho Barraza,5dmU7FrmtbQaSzIvGsE4Jp,3471967.0,"banda, norteño, grupera, ranchera",67.0,artist,"1,780.1",0.984,"1,618.7","1,076.9",109699.0,15.0,0.0,"Pachy Music, Inc. and Boba Records, Inc., Musart-Balboa., Distributed by Concord., Mano de Obra, Pachy Music, Inc. and Boba Records, Inc., Distributed by UMG Recordings, Inc."
DAY6,5TnQc2N1iKlFjYD7CPGvFc,3878342.0,"k-rock, k-pop",66.0,artist,"1,779.8",0.806,"1,779.8","1,779.8",1530520.0,3.0,0.0,"JYP Entertainment, WARNER MUSIC JAPAN INC."
Tay-K,2ODbg2404zUzTi02qIPEjB,3787995.0,nan,60.0,artist,"1,777.6",0.365,"1,659.1","1,363.4",5087700.0,12.0,0.0,"88 Classic, RR4L Worldwide / Create Music Group / broke"
Conrad Sewell,1rw8ZTLnDHd74TWDDukjVi,128155.0,nan,60.0,artist,"1,776.9",0.392,216.9,212.1,271836.0,14.0,8.0,"Teamwrk Records, Q-dance Music B.V. / Defqon.1 Records / Q-dance.com, Conrad Sewell under exclusive license to Sony Music Entertainment Australia Pty Ltd, Mushroom Group, A Mushroom Music Recording, Mushroom Group – A Mushroom Music Recording, Mushroom Group - A Mushroom Music Recording"
Palak Muchhal,3yMmYEklQ7gLOZXEFNd3xr,10800210.0,"bollywood, hindi pop, gujarati garba",70.0,artist,"1,776.0",1.684,740.9,272.3,56856.0,3.0,1.0,"Zee Music Company, Happy Media Works Pvt. Ltd., CJ, Tips Industries Ltd., Voila Digi Private Limited, Super Cassettes Industries Private Limited, Rajshri Entertainment Private Limited"
Vasco Rossi,5l4nhyz8876RhgE2d18h65,4161001.0,"italian singer-songwriter, singer-songwriter, italo dance",65.0,artist,"1,774.8",0.726,"1,769.3","1,751.1",171166.0,14.0,7.0,"Universal Music Italia Srl, Sony Music Entertainment Italy S.p.a., Carosello Records"
