artist,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count
Selena Gomez & The Scene,10393653.0,nan,68.0,artist,"2,547.5",0.999,"2,547.5","2,534.8",358149.0,5.0,5.0
The Walters,1053579.0,nan,69.0,artist,"2,538.4",1.344,"2,533.4","2,530.4",998279.0,4.0,4.0
Sara Bareilles,1987583.0,nan,62.0,artist,"2,533.1",0.431,"2,390.4","2,304.4",2061227.0,11.0,11.0
FiNCH,5388.0,"desi hip hop, hindi hip hop, punjabi hip hop",12.0,artist,"1,496.9",0.833,"1,214.5",494.3,146269.0,4.0,4.0
Imogen Heap,1134306.0,nan,75.0,artist,"2,527.6",3.092,"1,263.7","1,254.1",1255342.0,10.0,10.0
Frenna,666767.0,nan,66.0,artist,"2,263.6",0.711,"1,410.9",402.5,548849.0,6.0,6.0
Carpenters,3812050.0,"christmas, adult standards",68.0,artist,"2,508.1",1.117,"2,508.1","2,424.7",277960.0,4.0,4.0
Bausa,31418.0,"russelåter, norwegian hip hop, norwegian pop, epadunk",52.0,artist,"2,501.1",0.607,"1,180.5",681.6,756641.0,5.0,5.0
Lainey Wilson,1550518.0,country,73.0,artist,"2,496.7",2.367,"1,738.4","1,719.1",173037.0,5.0,5.0
Cole Swindell,2568870.0,"country, acoustic country",64.0,artist,"2,315.3",0.588,"2,274.3","2,025.0",223758.0,7.0,7.0
Grimes,2630549.0,art pop,68.0,artist,"2,495.9",0.889,"2,166.5","1,870.6",2880178.0,10.0,10.0
Icona Pop,781022.0,nan,66.0,artist,"2,490.2",0.75,"1,964.4",558.8,97319.0,5.0,5.0
Wu-Tang Clan,3716652.0,"east coast hip hop, old school hip hop, hip hop, gangster rap, hardcore hip hop",66.0,artist,"2,481.6",0.848,"2,292.0","1,538.4",2523474.0,3.0,3.0
Angus & Julia Stone,1328179.0,nan,64.0,artist,"2,480.2",0.654,"2,408.1","2,408.1",667732.0,9.0,9.0
Lizzy McAlpine,1559399.0,nan,74.0,artist,"2,476.0",3.071,"2,246.1","2,035.9",535737.0,3.0,3.0
Alanis Morissette,3182941.0,nan,67.0,artist,"2,474.6",0.959,"2,448.4","2,437.1",2322273.0,6.0,6.0
Martin Solveig,1186155.0,french house,63.0,artist,"2,474.5",0.59,"1,853.9",118.4,270470.0,9.0,9.0
Flo Milli,1572297.0,nan,67.0,artist,"2,469.5",1.234,"1,478.8","1,259.1",860270.0,7.0,7.0
Arizona Zervas,818430.0,nan,60.0,artist,"2,466.2",0.283,"2,419.1","2,304.3",2105421.0,5.0,5.0
Maite Perroni,1189329.0,latin pop,66.0,artist,"2,465.5",0.915,390.1,96.7,0.0,1.0,1.0
Rainbow Kitten Surprise,1375741.0,nan,71.0,artist,"2,463.2",1.554,"2,463.2","2,436.9",437554.0,5.0,5.0
Alvaro Soler,1809408.0,nan,64.0,artist,"2,459.8",0.587,"1,912.6","1,308.6",248603.0,5.0,5.0
Ella Eyre,865403.0,nan,63.0,artist,"2,457.6",0.529,631.5,605.8,85569.0,6.0,6.0
Roberto Carlos,6949174.0,"mpb, brega, bolero",69.0,artist,"2,452.8",1.216,"2,394.1","2,258.7",6365.0,1.0,1.0
Lalo Ebratt,1899191.0,reggaeton,62.0,artist,"2,449.9",0.506,641.8,2.3,51213.0,3.0,3.0
Lola Indigo,1641336.0,nan,65.0,artist,"2,313.7",0.688,"1,596.3",373.5,133536.0,6.0,6.0
Arcade Fire,2399063.0,"indie rock, baroque pop",63.0,artist,"2,447.6",0.518,"2,447.6","2,316.6",2331069.0,10.0,10.0
Method Man,2361830.0,"east coast hip hop, old school hip hop, hip hop, hardcore hip hop",66.0,artist,"2,445.4",0.792,933.4,251.2,177510.0,1.0,1.0
Soundgarden,5102163.0,"grunge, post-grunge, hard rock",69.0,artist,"2,444.9",1.165,"2,444.9","2,439.6",1894702.0,6.0,6.0
070 Shake,693292.0,nan,69.0,artist,"2,441.7",1.286,600.7,382.3,667047.0,9.0,9.0
